Donor	RNA1	RNA2
IXTCD01333	IXTCB01331	IXTCB01335
IXTCD01334	IXTCB01332	IXTCB01337
IXTCD01335	IXTCB01487	IXTCB01507
IXTCD01336	IXTCB01489	IXTCB01511
IXTCD01338	IXTCB01510	IXTCB01521
IXTCD01341	IXTCB01333	IXTCB01340
IXTCD01342	IXTCB01336	IXTCB01345
IXTCD01343	IXTCB01339	IXTCB01347
IXTCD01345	IXTCB01359	IXTCB01379
IXTCD01346	IXTCB01371	IXTCB01383
IXTCD01347	IXTCB01367	IXTCB01381
IXTCD01350	IXTCB01417	IXTCB01423
IXTCD01351	IXTCB01384	IXTCB01399
IXTCD01352	IXTCB01391	IXTCB01405
IXTCD01355	IXTCB01397	IXTCB01415
IXTCD01357	IXTCB01401	IXTCB01416
IXTCD01358	IXTCB01421	IXTCB01425
IXTCD01359	IXTCB01426	IXTCB01431
IXTCD01360	IXTCB01429	IXTCB01437
IXTCD01361	IXTCB01433	IXTCB01440
IXTCD01362	IXTCB01435	IXTCB01443
IXTCD01364	IXTCB01442	IXTCB01444
IXTCD01366	IXTCB01346	IXTCB01354
IXTCD01367	IXTCB01338	IXTCB01349
IXTCD01368	IXTCB01355	IXTCB01366
IXTCD01370	IXTCB01380	IXTCB01394
IXTCD01371	IXTCB01357	IXTCB01370
IXTCD01372	IXTCB01365	IXTCB01375
IXTCD01373	IXTCB01360	IXTCB01372
IXTCD01374	IXTCB01392	IXTCB01411
IXTCD01375	IXTCB01393	IXTCB01408
IXTCD01378	IXTCB01409	IXTCB01422
IXTCD01379	IXTCB01414	IXTCB01424
IXTCD01380	IXTCB01420	IXTCB01427
IXTCD01381	IXTCB01430	IXTCB01438
IXTCD01382	IXTCB01432	IXTCB01439
IXTCD01383	IXTCB01387	IXTCB01407
IXTCD01384	IXTCB01388	IXTCB01406
IXTCD01386	IXTCB01369	IXTCB01377
IXTCD01387	IXTCB01445	IXTCB01446
IXTCD01388	IXTCB01448	IXTCB01451
IXTCD01389	IXTCB01353	IXTCB01361
IXTCD01390	IXTCB01352	IXTCB01363
IXTCD01392	IXTCB01341	IXTCB01356
IXTCD01394	IXTCB01453	IXTCB01456
IXTCD01395	IXTCB01449	IXTCB01454
IXTCD01396	IXTCB01364	IXTCB01373
IXTCD01397	IXTCB01463	IXTCB01481
IXTCD01398	IXTCB01452	IXTCB01455
IXTCD01400	IXTCB01376	IXTCB01396
IXTCD01402	IXTCB01386	IXTCB01403
IXTCD01403	IXTCB01428	IXTCB01436
IXTCD01405	IXTCB01457	IXTCB01467
IXTCD01406	IXTCB01458	IXTCB01468
IXTCD01407	IXTCB01460	IXTCB01472
IXTCD01408	IXTCB01461	IXTCB01477
IXTCD01409	IXTCB01464	IXTCB01484
IXTCD01410	IXTCB01470	IXTCB01491
IXTCD01412	IXTCB01474	IXTCB01493
IXTCD01415	IXTCB01482	IXTCB01500
IXTCD01416	IXTCB01497	IXTCB01513
IXTCD01417	IXTCB01516	IXTCB01526
IXTCD01418	IXTCB01523	IXTCB01530
IXTCD01420	IXTCB01479	IXTCB01499
IXTCD01421	IXTCB01466	IXTCB01504
IXTCD01422	IXTCB01485	IXTCB01503
IXTCD01423	IXTCB01537	IXTCB01538
IXTCD01424	IXTCB01501	IXTCB01515
IXTCD01425	IXTCB01522	IXTCB01529
IXTCD01426	IXTCB01539	IXTCB01540
IXTCD01427	IXTCB01462	IXTCB01475
IXTCD01428	IXTCB01465	IXTCB01486
IXTCD01429	IXTCB01469	IXTCB01490
IXTCD01431	IXTCB01483	IXTCB01505
IXTCD01432	IXTCB01488	IXTCB01509
IXTCD01434	IXTCB01498	IXTCB01514
IXTCD01435	IXTCB01506	IXTCB01518
