Sample	Plate	RNA.Integrity	RNA.Concentration
IXTCB01359	1	8.1	31.2802868354105
IXTCB01353	1	7.7	90.5533576641846
IXTCB01352	1	5.6	28.8046318314604
IXTCB01338	1	9	36.7515764259246
IXTCB01365	1	8.7	32.2845836841318
IXTCB01414	1	5.3	85.4415672320043
IXTCB01379	1	7.9	46.5630274551713
IXTCB01361	1	6.7	58.7371069529879
IXTCB01363	1	8	117.881045684089
IXTCB01349	1	9.1	84.7956191443101
IXTCB01375	1	7.3	55.7282427973972
IXTCB01424	1	8.3	34.9768009810622
IXTCB01333	1	7.8	55.6569181643837
IXTCB01371	1	7.1	37.3696273789321
IXTCB01384	1	8.2	78.2743044121346
IXTCB01386	1	8.5	42.8052546529395
IXTCB01341	1	7.5	35.5410708599829
IXTCB01355	1	8.7	49.6972849171889
IXTCB01360	1	8.1	38.3698978370801
IXTCB01420	1	8.5	60.3784363102768
IXTCB01340	1	8	63.0821575802738
IXTCB01383	1	8.3	39.1993342951879
IXTCB01399	1	8.2	65.5474590084639
IXTCB01403	1	8.9	52.5867953522129
IXTCB01356	1	8.3	53.0213579348068
IXTCB01366	1	8.8	42.7589511613461
IXTCB01372	1	6.4	151.575607597748
IXTCB01427	1	8	94.4526293351366
IXTCB01331	1	8.8	60.1774043809366
IXTCB01367	1	8.8	58.7592521011413
IXTCB01391	1	8.3	35.2543343312959
IXTCB01421	1	8.1	186.874110956229
IXTCB01434	1	8	29.2095716834076
IXTCB01343	1	6.5	32.145385610025
IXTCB01392	1	7.5	58.9188697274415
IXTCB01369	1	8	69.6526517973095
IXTCB01335	1	8.7	89.8993567953437
IXTCB01381	1	7.7	34.5468399876949
IXTCB01405	1	8.9	64.9558671935097
IXTCB01425	1	8.4	141.409258999394
IXTCB01411	1	6.7	80.5572678672177
IXTCB01377	1	7.2	52.3357211400325
IXTCB01336	1	7.7	64.0065018161818
IXTCB01374	1	8.2	31.8129207883979
IXTCB01404	1	8.5	31.0295002225568
IXTCB01388	1	7.5	27.989575339686
IXTCB01380	1	8	30.5480589497161
IXTCB01393	1	8.3	29.2854979056477
IXTCB01364	1	8.1	64.2800087758421
IXTCB01345	1	8	41.1863580431306
IXTCB01406	1	6.9	30.5644521113362
IXTCB01394	1	8.3	61.3470708424915
IXTCB01408	1	7.9	40.3212592685161
IXTCB01373	1	8	35.8959684290901
IXTCB01339	1	8.4	46.8903154889184
IXTCB01429	1	8.5	62.2248239874793
IXTCB01428	1	3.6	36.0599000452903
IXTCB01402	1	7.9	132.779553603422
IXTCB01432	1	8.2	44.645602744282
IXTCB01347	1	7.4	78.9717327793022
IXTCB01437	1	8	25.7028730933562
IXTCB01436	1	8.4	101.115155336706
IXTCB01439	1	7.8	110.766988739652
IXTCB01350	1	7.9	86.397259794519
IXTCB01397	1	7.8	48.5908903075007
IXTCB01332	1	8.4	37.4139176752388
IXTCB01346	1	8.1	39.1346244466879
IXTCB01357	1	7.9	25.3922658205558
IXTCB01409	1	4.8	85.9529188348184
IXTCB01387	1	7.6	81.5466095509524
IXTCB01506	1	7.4	53.3779810998739
IXTCB01415	1	8	51.0162154292841
IXTCB01337	1	8.5	27.7249839591523
